,dish washer,electric stove,fridge,microwave,washer dryer,waste disposal unit,main
0,0.0,1.0,6.0,4.0,2.0,0.0,55.1900024414
1,0.0,1.0,6.0,4.0,3.0,0.0,55.1599998474
2,0.0,1.0,6.0,4.0,3.0,0.0,55.1599998474
3,0.0,1.0,6.0,4.0,3.0,0.0,55.1599998474
4,0.0,1.0,6.0,4.0,3.0,0.0,55.3800010681
5,0.0,1.0,6.0,4.0,3.0,0.0,55.3400039673
6,0.0,1.0,6.0,4.0,3.0,0.0,55.3100013733
7,0.0,0.0,6.0,5.0,3.0,0.0,55.3600006104
8,0.0,1.0,6.0,4.0,3.0,0.0,55.4000015259
9,0.0,1.0,6.0,4.0,3.0,0.0,55.2900009155
10,0.0,1.0,6.0,4.0,3.0,0.0,55.3199996948
11,0.0,1.0,6.0,4.0,3.0,0.0,55.1999969482
12,0.0,1.0,6.0,4.0,2.0,0.0,55.2599983215
13,0.0,1.0,6.0,4.0,2.0,0.0,55.3600006104
14,0.0,1.0,6.0,4.0,3.0,0.0,55.2699966431
15,0.0,1.0,6.0,4.0,2.0,0.0,55.1699981689
16,0.0,1.0,6.0,4.0,2.0,0.0,55.3000030518
17,0.0,1.0,6.0,4.0,2.0,0.0,55.2399978638
18,1.0,0.0,6.0,4.0,3.0,0.0,55.4000015259
19,0.0,1.0,6.0,4.0,2.0,0.0,55.1899986267
20,0.0,1.0,6.0,4.0,2.0,0.0,55.1899986267
21,0.0,1.0,6.0,4.0,2.0,0.0,55.1899986267
22,0.0,1.0,6.0,4.0,3.0,0.0,55.3499984741
23,0.0,1.0,6.0,4.0,3.0,0.0,55.0800018311
24,0.0,1.0,6.0,4.0,3.0,0.0,55.0500030518
25,0.0,1.0,6.0,4.0,3.0,0.0,55.4700012207
26,0.0,1.0,6.0,4.0,2.0,0.0,55.2799987793
27,0.0,0.0,6.0,4.0,3.0,0.0,55.1699981689
28,0.0,1.0,6.0,4.0,2.0,0.0,55.3899993896
29,0.0,1.0,6.0,4.0,3.0,0.0,55.5999984741
30,0.0,1.0,6.0,4.0,3.0,0.0,55.3199996948
31,0.0,1.0,6.0,4.0,3.0,0.0,55.4399986267
32,1.0,1.0,6.0,4.0,2.0,0.0,55.5900039673
33,1.0,1.0,6.0,4.0,3.0,0.0,55.3099975586
34,0.0,1.0,6.0,4.0,3.0,0.0,55.3800010681
35,1.0,0.0,6.0,4.0,2.0,0.0,55.3400039673
36,0.0,1.0,6.0,4.0,3.0,0.0,55.0999984741
37,1.0,1.0,6.0,4.0,2.0,0.0,54.9399986267
38,1.0,1.0,6.0,4.0,2.0,0.0,54.9399986267
39,1.0,1.0,6.0,4.0,2.0,0.0,54.9399986267
40,0.0,1.0,6.0,4.0,3.0,0.0,55.0400009155
41,0.0,1.0,6.0,4.0,3.0,0.0,55.4300003052
42,0.0,1.0,6.0,4.0,3.0,0.0,55.3799972534
43,0.0,1.0,6.0,4.0,3.0,0.0,55.3600006104
44,0.0,1.0,6.0,4.0,3.0,0.0,55.3099975586
45,0.0,1.0,6.0,4.0,4.0,0.0,55.3000030518
46,0.0,1.0,6.0,4.0,3.0,0.0,55.2900009155
47,0.0,0.0,6.0,4.0,3.0,0.0,55.4200019836
48,0.0,1.0,6.0,4.0,3.0,0.0,55.5400009155
49,0.0,0.0,6.0,5.0,3.0,0.0,55.3199996948
50,0.0,1.0,6.0,4.0,3.0,0.0,55.2400016785
51,0.0,1.0,6.0,4.0,3.0,0.0,55.25
52,0.0,1.0,6.0,4.0,3.0,0.0,55.4000015259
53,0.0,1.0,6.0,4.0,3.0,0.0,55.4199981689
54,0.0,1.0,6.0,4.0,3.0,0.0,55.3600006104
55,0.0,1.0,6.0,4.0,3.0,0.0,55.3600006104
56,0.0,1.0,6.0,4.0,3.0,0.0,55.4300003052
57,0.0,1.0,6.0,4.0,2.0,0.0,55.3700027466
58,0.0,1.0,6.0,4.0,3.0,0.0,54.9899978638
59,0.0,1.0,6.0,4.0,3.0,0.0,54.9200019836
60,0.0,1.0,6.0,4.0,3.0,0.0,55.0800018311
61,0.0,0.0,6.0,4.0,3.0,0.0,55.0899963379
62,0.0,0.0,6.0,4.0,3.0,0.0,54.9799957275
63,1.0,1.0,6.0,4.0,4.0,0.0,55.0299987793
64,0.0,1.0,6.0,4.0,2.0,0.0,55.1699981689
65,0.0,1.0,6.0,4.0,3.0,0.0,55.0199966431
66,0.0,1.0,6.0,4.0,3.0,0.0,55.0599975586
67,0.0,1.0,6.0,4.0,3.0,0.0,55.2200012207
68,0.0,1.0,6.0,4.0,4.0,0.0,55.2699966431
69,0.0,1.0,6.0,4.0,3.0,0.0,55.3399963379
70,1.0,1.0,6.0,4.0,3.0,0.0,55.2399978638
71,0.0,1.0,6.0,4.0,2.0,0.0,55.3499984741
72,0.0,1.0,6.0,4.0,2.0,0.0,55.3499984741
73,0.0,1.0,6.0,4.0,2.0,0.0,55.3499984741
74,0.0,1.0,6.0,4.0,2.0,0.0,55.5100021362
75,0.0,1.0,6.0,4.0,2.0,0.0,55.5299987793
76,1.0,1.0,6.0,4.0,2.0,0.0,55.4300003052
77,0.0,1.0,6.0,4.0,3.0,0.0,55.4799995422
78,0.0,1.0,6.0,4.0,2.0,0.0,55.6100006104
79,0.0,1.0,6.0,4.0,3.0,0.0,55.4700012207
80,0.0,1.0,6.0,4.0,3.0,0.0,55.4700012207
81,0.0,1.0,6.0,4.0,3.0,0.0,55.5500030518
82,0.0,1.0,6.0,4.0,3.0,0.0,55.5899963379
83,0.0,1.0,6.0,4.0,3.0,0.0,55.3499984741
84,0.0,1.0,6.0,4.0,3.0,0.0,55.2700042725
85,0.0,1.0,6.0,4.0,3.0,0.0,55.3400001526
