,CE appliance,dish washer,electric furnace,fridge,microwave,washer dryer,waste disposal unit,main
0,79.0,1.0,5.0,133.0,2.0,0.0,0.0,258.070007324
1,89.0,1.0,5.0,130.0,2.0,0.0,0.0,257.160003662
2,78.0,1.0,5.0,133.0,2.0,0.0,0.0,257.140014648
3,89.0,1.0,5.0,133.0,2.0,0.0,0.0,256.619995117
4,72.0,1.0,5.0,130.0,2.0,0.0,0.0,255.809997559
5,87.0,1.0,5.0,131.0,2.0,0.0,0.0,255.039993286
6,80.0,1.0,5.0,130.0,2.0,0.0,0.0,254.089996338
7,73.0,1.0,5.0,131.0,2.0,0.0,0.0,253.940002441
8,83.0,1.0,5.0,131.0,2.0,0.0,0.0,256.529998779
9,81.0,1.0,5.0,128.0,2.0,0.0,0.0,253.740005493
10,77.0,1.0,5.0,128.0,2.0,0.0,0.0,253.449996948
11,78.0,1.0,5.0,125.0,2.0,0.0,0.0,253.75
12,78.0,1.0,5.0,125.0,2.0,0.0,0.0,250.970001221
13,74.0,1.0,5.0,123.0,2.0,0.0,0.0,250.779998779
14,78.0,1.0,5.0,123.0,2.0,0.0,0.0,249.880004883
15,80.0,1.0,5.0,121.0,2.0,0.0,0.0,249.940002441
16,80.0,1.0,5.0,121.0,2.0,0.0,0.0,249.940002441
17,80.0,1.0,5.0,121.0,2.0,0.0,0.0,249.940002441
18,86.0,1.0,5.0,120.0,2.0,0.0,0.0,249.059997559
19,84.0,1.0,5.0,121.0,2.0,0.0,0.0,247.300003052
20,80.0,1.0,5.0,122.0,2.0,0.0,0.0,248.770004272
21,81.0,1.0,5.0,120.0,2.0,0.0,0.0,247.400009155
22,81.0,1.0,5.0,119.0,2.0,0.0,0.0,247.020004272
23,81.0,1.0,5.0,119.0,2.0,0.0,0.0,247.229995728
24,78.0,1.0,5.0,120.0,2.0,0.0,0.0,247.679992676
25,77.0,1.0,5.0,120.0,2.0,0.0,0.0,244.450012207
26,78.0,1.0,5.0,119.0,2.0,0.0,0.0,243.410003662
27,79.0,1.0,5.0,119.0,2.0,0.0,0.0,242.449996948
28,80.0,1.0,5.0,118.0,2.0,0.0,0.0,241.970001221
29,75.0,1.0,5.0,120.0,2.0,0.0,0.0,242.229995728
30,78.0,1.0,5.0,119.0,2.0,0.0,0.0,243.38999939
31,77.0,1.0,5.0,118.0,2.0,0.0,0.0,241.849990845
32,78.0,1.0,5.0,117.0,2.0,0.0,0.0,240.449996948
33,78.0,1.0,5.0,118.0,2.0,0.0,0.0,244.979995728
34,78.0,1.0,5.0,118.0,2.0,0.0,0.0,244.979995728
35,78.0,1.0,5.0,118.0,2.0,0.0,0.0,244.979995728
36,79.0,1.0,5.0,117.0,2.0,0.0,0.0,242.419998169
37,79.0,1.0,5.0,119.0,2.0,0.0,0.0,242.020004272
38,77.0,1.0,5.0,118.0,2.0,0.0,0.0,242.320007324
39,78.0,1.0,5.0,116.0,2.0,0.0,0.0,241.830001831
40,80.0,1.0,5.0,117.0,2.0,0.0,0.0,242.059997559
41,79.0,1.0,5.0,117.0,2.0,0.0,0.0,241.779998779
42,79.0,1.0,5.0,116.0,2.0,0.0,0.0,241.220001221
43,75.0,1.0,5.0,118.0,2.0,0.0,0.0,241.190002441
44,77.0,1.0,5.0,117.0,2.0,0.0,0.0,239.839996338
45,75.0,1.0,5.0,116.0,2.0,0.0,0.0,239.190002441
46,79.0,1.0,5.0,117.0,2.0,0.0,0.0,239.190002441
47,79.0,1.0,5.0,119.0,2.0,0.0,0.0,240.089996338
48,77.0,1.0,5.0,116.0,2.0,0.0,0.0,240.350006104
49,76.0,1.0,5.0,117.0,2.0,0.0,0.0,240.11000061
50,78.0,1.0,5.0,117.0,2.0,0.0,0.0,239.63999939
