,dish washer,electric stove,fridge,microwave,washer dryer,waste disposal unit,main
0,0.0,1.0,7.0,4.0,2.0,0.0,37.9700012207
1,0.0,1.0,6.0,4.0,2.0,0.0,37.9599990845
2,0.0,1.0,6.0,4.0,2.0,0.0,37.9599990845
3,0.0,1.0,7.0,4.0,2.0,0.0,38.0200004578
4,0.0,1.0,7.0,4.0,3.0,0.0,37.9700012207
5,0.0,1.0,6.0,4.0,2.0,0.0,37.9399986267
6,1.0,1.0,6.0,5.0,2.0,0.0,37.9500007629
7,0.0,0.0,6.0,4.0,2.0,0.0,37.8600006104
8,0.0,1.0,6.0,4.0,2.0,0.0,37.9099998474
9,0.0,1.0,6.0,4.0,2.0,0.0,37.8600006104
10,0.0,0.0,7.0,4.0,3.0,0.0,37.8400001526
11,0.0,1.0,6.0,4.0,2.0,0.0,37.8300018311
12,0.0,1.0,6.0,4.0,2.0,0.0,37.9099998474
13,0.0,1.0,6.0,4.0,2.0,0.0,37.8600006104
14,0.0,1.0,6.0,5.0,3.0,0.0,37.7799987793
15,0.0,1.0,6.0,4.0,2.0,0.0,37.8300018311
16,1.0,1.0,6.0,4.0,3.0,0.0,37.8499984741
17,1.0,1.0,6.0,4.0,3.0,0.0,37.8499984741
18,1.0,1.0,6.0,4.0,3.0,0.0,37.8499984741
19,1.0,1.0,7.0,4.0,2.0,0.0,37.8300018311
20,0.0,0.0,7.0,4.0,2.0,0.0,37.7900009155
21,0.0,1.0,6.0,4.0,2.0,0.0,37.8300018311
22,0.0,0.0,6.0,4.0,2.0,0.0,37.8099975586
23,0.0,1.0,6.0,5.0,2.0,0.0,37.7799987793
24,0.0,1.0,6.0,4.0,2.0,0.0,37.5299987793
25,0.0,1.0,6.0,4.0,2.0,0.0,37.8100013733
26,1.0,1.0,6.0,5.0,2.0,0.0,37.7799987793
27,0.0,1.0,6.0,4.0,2.0,0.0,37.7799987793
28,0.0,1.0,6.0,4.0,2.0,0.0,37.7999992371
29,0.0,1.0,6.0,4.0,2.0,0.0,37.8100013733
30,0.0,1.0,7.0,4.0,2.0,0.0,37.7399978638
