,dish washer,electric stove,fridge,microwave,washer dryer,waste disposal unit,main
0,0.0,1.0,6.0,4.0,2.0,0.0,36.8400001526
1,0.0,1.0,6.0,4.0,2.0,0.0,36.7900009155
2,0.0,1.0,6.0,4.0,2.0,0.0,36.7799987793
3,0.0,0.0,6.0,4.0,2.0,0.0,36.7299995422
4,0.0,1.0,6.0,4.0,2.0,0.0,36.8400001526
5,0.0,1.0,6.0,4.0,2.0,0.0,36.8400001526
6,0.0,1.0,6.0,4.0,2.0,0.0,36.8400001526
7,0.0,1.0,6.0,4.0,2.0,0.0,36.7799987793
8,0.0,1.0,6.0,4.0,2.0,0.0,36.8400001526
9,0.0,1.0,6.0,4.0,2.0,0.0,36.7999992371
10,0.0,1.0,6.0,4.0,2.0,0.0,36.8100013733
11,0.0,0.0,6.0,4.0,2.0,0.0,36.8300018311
12,0.0,0.0,6.0,4.0,2.0,0.0,36.8199996948
13,0.0,1.0,6.0,4.0,1.0,0.0,36.7999992371
14,0.0,0.0,6.0,4.0,2.0,0.0,36.7799987793
15,0.0,0.0,6.0,4.0,2.0,0.0,36.7299995422
16,0.0,1.0,6.0,4.0,2.0,0.0,36.8099975586
17,0.0,1.0,6.0,4.0,2.0,0.0,36.7099990845
18,0.0,1.0,6.0,4.0,2.0,0.0,36.7900009155
19,0.0,1.0,6.0,4.0,2.0,0.0,36.8099975586
20,0.0,1.0,6.0,4.0,2.0,0.0,36.8199996948
21,0.0,0.0,6.0,4.0,2.0,0.0,36.7799987793
22,0.0,1.0,6.0,4.0,2.0,0.0,36.7600021362
23,0.0,1.0,6.0,4.0,2.0,0.0,36.7600021362
24,0.0,1.0,6.0,4.0,2.0,0.0,36.7600021362
25,0.0,1.0,6.0,4.0,2.0,0.0,36.7799987793
26,0.0,1.0,6.0,4.0,2.0,0.0,36.7900009155
27,0.0,1.0,6.0,4.0,2.0,0.0,36.8700027466
28,0.0,0.0,6.0,4.0,2.0,0.0,36.8300018311
29,0.0,0.0,6.0,4.0,2.0,0.0,36.8300018311
30,0.0,1.0,6.0,4.0,1.0,0.0,36.8199996948
31,0.0,1.0,6.0,4.0,1.0,0.0,36.8899993896
32,0.0,1.0,6.0,4.0,2.0,0.0,36.7900009155
33,0.0,1.0,6.0,4.0,2.0,0.0,36.7999992371
