,dish washer,electric stove,fridge,microwave,washer dryer,waste disposal unit,main
0,0.0,0.0,176.0,5.0,1.0,0.0,416.259979248
1,0.0,0.0,177.0,5.0,1.0,0.0,416.829986572
2,0.0,0.0,176.0,5.0,0.0,0.0,416.350006104
3,0.0,0.0,176.0,5.0,0.0,0.0,416.350006104
4,0.0,0.0,176.0,5.0,0.0,0.0,416.350006104
5,0.0,0.0,173.0,5.0,0.0,0.0,415.960021973
6,0.0,0.0,175.0,5.0,2.0,0.0,416.220001221
7,0.0,0.0,172.0,5.0,1.0,0.0,416.309997559
8,0.0,0.0,172.0,5.0,0.0,0.0,414.970001221
9,0.0,0.0,173.0,5.0,0.0,0.0,415.429992676
10,0.0,0.0,174.0,5.0,0.0,0.0,414.950012207
11,0.0,0.0,174.0,5.0,0.0,0.0,414.849975586
12,0.0,0.0,175.0,5.0,0.0,0.0,416.5
13,0.0,0.0,177.0,5.0,0.0,0.0,416.170013428
14,0.0,0.0,175.0,5.0,1.0,0.0,415.299987793
15,0.0,0.0,174.0,5.0,1.0,0.0,415.020019531
16,0.0,0.0,174.0,5.0,1.0,0.0,415.020019531
17,0.0,0.0,174.0,5.0,1.0,0.0,415.020019531
18,0.0,0.0,172.0,5.0,1.0,0.0,414.740020752
19,0.0,0.0,172.0,5.0,0.0,0.0,414.519989014
20,0.0,0.0,171.0,5.0,2.0,0.0,414.119995117
21,0.0,0.0,172.0,5.0,0.0,0.0,414.690002441
22,0.0,0.0,173.0,5.0,0.0,0.0,414.229980469
23,0.0,0.0,171.0,5.0,0.0,0.0,413.440002441
24,0.0,0.0,171.0,5.0,1.0,0.0,413.179992676
25,0.0,0.0,172.0,5.0,1.0,0.0,414.049987793
26,0.0,0.0,173.0,5.0,0.0,0.0,412.220001221
27,0.0,0.0,173.0,5.0,0.0,0.0,412.350006104
28,0.0,0.0,172.0,5.0,0.0,0.0,412.770019531
29,0.0,0.0,172.0,5.0,0.0,0.0,414.050018311
30,0.0,0.0,170.0,5.0,3.0,0.0,412.940002441
31,0.0,0.0,171.0,5.0,2.0,0.0,413.220001221
32,0.0,0.0,174.0,5.0,1.0,0.0,413.269989014
33,0.0,0.0,174.0,5.0,1.0,0.0,413.269989014
34,0.0,0.0,174.0,5.0,1.0,0.0,413.269989014
35,0.0,0.0,173.0,5.0,1.0,0.0,413.160003662
36,0.0,0.0,172.0,5.0,0.0,0.0,412.58001709
37,0.0,0.0,171.0,5.0,0.0,0.0,412.5
38,0.0,0.0,171.0,5.0,1.0,0.0,412.880004883
39,0.0,0.0,172.0,5.0,0.0,0.0,412.220001221
40,0.0,0.0,174.0,5.0,0.0,0.0,411.890014648
41,0.0,0.0,172.0,5.0,0.0,0.0,411.780029297
42,0.0,0.0,173.0,5.0,0.0,0.0,412.709991455
43,0.0,0.0,174.0,5.0,0.0,0.0,412.5
