,dish washer,electric stove,fridge,microwave,washer dryer,waste disposal unit,main
0,0.0,0.0,157.0,45.0,0.0,0.0,445.369995117
1,0.0,0.0,154.0,45.0,0.0,0.0,443.450012207
2,0.0,0.0,158.0,45.0,0.0,0.0,443.480010986
3,0.0,0.0,154.0,45.0,1.0,0.0,443.640014648
4,0.0,0.0,157.0,45.0,0.0,0.0,444.290008545
5,0.0,0.0,154.0,45.0,0.0,0.0,444.550018311
6,0.0,0.0,157.0,45.0,0.0,0.0,443.25
7,0.0,0.0,154.0,45.0,0.0,0.0,444.519989014
8,0.0,0.0,157.0,45.0,0.0,0.0,442.429992676
9,0.0,0.0,154.0,45.0,0.0,0.0,443.820007324
10,0.0,0.0,154.0,45.0,0.0,0.0,443.709991455
11,0.0,0.0,157.0,45.0,0.0,0.0,443.029998779
12,0.0,0.0,154.0,45.0,1.0,0.0,443.83001709
13,0.0,0.0,156.0,45.0,0.0,0.0,444.880004883
14,0.0,0.0,156.0,45.0,1.0,0.0,444.260009766
15,0.0,0.0,155.0,45.0,0.0,0.0,444.129974365
16,0.0,0.0,156.0,45.0,0.0,0.0,445.789978027
17,0.0,0.0,156.0,45.0,0.0,0.0,445.200012207
18,0.0,0.0,156.0,45.0,0.0,0.0,445.200012207
19,0.0,0.0,156.0,45.0,0.0,0.0,445.200012207
20,0.0,0.0,156.0,45.0,0.0,0.0,445.200012207
21,0.0,0.0,155.0,45.0,1.0,0.0,445.260009766
22,0.0,0.0,155.0,45.0,0.0,0.0,443.83001709
23,0.0,0.0,155.0,45.0,0.0,0.0,443.920013428
24,0.0,0.0,155.0,45.0,0.0,0.0,444.089996338
25,0.0,0.0,154.0,45.0,1.0,0.0,443.320007324
26,0.0,0.0,156.0,45.0,2.0,0.0,445.630004883
27,0.0,0.0,154.0,45.0,0.0,0.0,445.470001221
28,0.0,0.0,157.0,45.0,1.0,0.0,445.570007324
29,0.0,0.0,153.0,45.0,0.0,0.0,444.040008545
30,0.0,0.0,157.0,45.0,1.0,0.0,443.320007324
31,0.0,0.0,157.0,45.0,2.0,0.0,445.059997559
32,0.0,0.0,152.0,45.0,2.0,0.0,445.630004883
33,0.0,0.0,156.0,45.0,2.0,0.0,445.059997559
34,0.0,0.0,154.0,45.0,2.0,0.0,445.240020752
35,0.0,0.0,154.0,45.0,2.0,0.0,445.240020752
36,0.0,0.0,154.0,45.0,2.0,0.0,445.240020752
37,0.0,0.0,155.0,44.0,2.0,0.0,444.200012207
38,0.0,0.0,156.0,45.0,2.0,0.0,444.570007324
39,0.0,0.0,155.0,45.0,2.0,0.0,444.679992676
