,dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main
0,0.0,0.0,0.0,7.0,4.0,0.0,96.2900009155
1,0.0,0.0,0.0,7.0,4.0,0.0,96.8399963379
2,0.0,0.0,0.0,7.0,4.0,0.0,96.6900024414
3,0.0,0.0,0.0,7.0,4.0,0.0,96.7399978638
4,0.0,0.0,0.0,6.0,4.0,0.0,97.0399932861
5,0.0,0.0,0.0,7.0,4.0,0.0,100.919998169
6,0.0,0.0,0.0,7.0,4.0,0.0,101.470001221
7,0.0,0.0,0.0,7.0,4.0,0.0,101.629997253
8,0.0,0.0,0.0,7.0,4.0,0.0,97.5200042725
9,0.0,0.0,0.0,7.0,4.0,0.0,97.6500015259
10,0.0,0.0,0.0,7.0,4.0,0.0,97.1500015259
11,0.0,0.0,0.0,7.0,4.0,0.0,97.3300018311
12,0.0,0.0,0.0,7.0,4.0,0.0,97.5899963379
13,0.0,0.0,0.0,6.0,4.0,0.0,97.1100006104
14,0.0,0.0,0.0,7.0,4.0,0.0,96.8099975586
15,0.0,0.0,0.0,7.0,4.0,0.0,97.0100021362
16,0.0,0.0,0.0,6.0,4.0,0.0,95.5599975586
17,0.0,0.0,0.0,6.0,4.0,0.0,95.5599975586
18,0.0,0.0,0.0,6.0,4.0,0.0,95.5599975586
19,0.0,0.0,0.0,7.0,4.0,0.0,96.2599945068
20,0.0,0.0,0.0,6.0,4.0,0.0,96.2599945068
21,0.0,0.0,0.0,6.0,4.0,0.0,99.1699981689
22,0.0,0.0,0.0,7.0,4.0,0.0,99.6399993896
23,0.0,0.0,0.0,6.0,4.0,0.0,98.3099975586
24,0.0,0.0,0.0,7.0,4.0,0.0,100.88999939
25,0.0,0.0,0.0,7.0,4.0,0.0,101.270004272
26,0.0,0.0,0.0,7.0,4.0,0.0,99.8699951172
27,0.0,0.0,0.0,6.0,4.0,0.0,100.770004272
28,0.0,0.0,0.0,7.0,4.0,0.0,99.5299987793
29,0.0,0.0,0.0,6.0,4.0,0.0,96.3099975586
30,0.0,0.0,0.0,7.0,4.0,0.0,96.2400054932
31,0.0,0.0,0.0,6.0,4.0,0.0,95.9000015259
32,0.0,0.0,0.0,7.0,4.0,0.0,95.9300003052
33,0.0,0.0,0.0,7.0,4.0,0.0,95.8800048828
34,0.0,0.0,0.0,7.0,4.0,0.0,95.8800048828
35,0.0,0.0,0.0,7.0,4.0,0.0,95.8800048828
36,0.0,0.0,0.0,6.0,4.0,0.0,95.8699951172
37,0.0,0.0,0.0,7.0,4.0,0.0,96.6399993896
38,0.0,0.0,0.0,7.0,4.0,0.0,95.5699996948
39,0.0,0.0,0.0,7.0,4.0,0.0,95.8699951172
40,0.0,0.0,0.0,7.0,4.0,0.0,96.0200042725
41,0.0,0.0,0.0,7.0,4.0,0.0,96.0400009155
42,0.0,0.0,0.0,7.0,4.0,0.0,96.0199966431
43,0.0,0.0,0.0,7.0,4.0,0.0,96.1600036621
44,0.0,0.0,0.0,6.0,4.0,0.0,95.9100036621
45,0.0,0.0,0.0,7.0,4.0,0.0,96.1699981689
46,0.0,0.0,0.0,7.0,4.0,0.0,96.7200012207
47,0.0,0.0,0.0,7.0,4.0,0.0,96.4499969482
