,dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main
0,0.0,0.0,0.0,6.0,5.0,,
1,0.0,0.0,0.0,6.0,4.0,0.0,224.790008545
2,0.0,0.0,0.0,6.0,4.0,0.0,222.339996338
3,0.0,0.0,0.0,7.0,4.0,0.0,217.880004883
4,0.0,0.0,0.0,7.0,4.0,0.0,223.059997559
5,0.0,0.0,0.0,6.0,4.0,0.0,222.5
6,0.0,0.0,0.0,6.0,4.0,0.0,226.239990234
7,0.0,0.0,0.0,7.0,4.0,0.0,222.820007324
8,0.0,0.0,0.0,7.0,5.0,0.0,222.160003662
9,0.0,0.0,0.0,7.0,5.0,0.0,219.809997559
10,0.0,0.0,0.0,7.0,5.0,0.0,221.149993896
11,0.0,0.0,0.0,6.0,4.0,0.0,219.200012207
12,0.0,0.0,0.0,6.0,5.0,0.0,217.800003052
13,0.0,0.0,0.0,6.0,5.0,0.0,218.350006104
14,0.0,0.0,0.0,7.0,4.0,0.0,218.979995728
15,0.0,0.0,0.0,6.0,5.0,0.0,220.11000061
16,0.0,0.0,0.0,6.0,5.0,0.0,217.440002441
17,0.0,0.0,0.0,6.0,5.0,0.0,217.440002441
18,0.0,0.0,0.0,7.0,5.0,0.0,217.440002441
19,0.0,0.0,0.0,7.0,4.0,0.0,220.269989014
20,0.0,0.0,0.0,6.0,4.0,0.0,217.959991455
21,0.0,0.0,0.0,7.0,5.0,0.0,217.070007324
22,0.0,0.0,0.0,7.0,4.0,0.0,217.229995728
23,0.0,0.0,0.0,6.0,4.0,0.0,220.110015869
24,0.0,0.0,0.0,6.0,4.0,0.0,217.470001221
25,0.0,0.0,0.0,7.0,4.0,0.0,219.720001221
26,0.0,0.0,0.0,7.0,5.0,0.0,220.869995117
27,0.0,0.0,0.0,7.0,4.0,0.0,218.299987793
28,0.0,0.0,0.0,7.0,4.0,0.0,219.019989014
29,0.0,0.0,0.0,6.0,4.0,0.0,217.759994507
30,0.0,0.0,0.0,7.0,5.0,0.0,218.91998291
31,0.0,0.0,0.0,6.0,5.0,0.0,219.5
32,0.0,0.0,0.0,7.0,5.0,0.0,218.880004883
33,0.0,0.0,0.0,7.0,4.0,0.0,217.700012207
34,0.0,0.0,0.0,7.0,4.0,0.0,217.700012207
35,0.0,0.0,0.0,6.0,5.0,0.0,217.119995117
36,0.0,0.0,0.0,7.0,5.0,0.0,216.699981689
37,0.0,0.0,0.0,7.0,4.0,0.0,219.029998779
38,0.0,0.0,0.0,7.0,4.0,0.0,219.509994507
39,0.0,0.0,0.0,7.0,5.0,0.0,219.170013428
40,0.0,0.0,0.0,6.0,5.0,0.0,218.070007324
41,0.0,0.0,0.0,6.0,5.0,0.0,219.799987793
42,0.0,0.0,0.0,6.0,4.0,0.0,218.539993286
