,dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main
0,0.0,0.0,0.0,7.0,5.0,0.0,313.359985352
1,0.0,0.0,0.0,6.0,5.0,0.0,315.299987793
2,0.0,0.0,0.0,6.0,5.0,0.0,315.089996338
3,0.0,0.0,0.0,7.0,4.0,0.0,313.099975586
4,0.0,0.0,0.0,7.0,4.0,0.0,311.5
5,0.0,0.0,0.0,6.0,4.0,0.0,312.08001709
6,0.0,0.0,0.0,7.0,4.0,0.0,313.329986572
7,0.0,0.0,0.0,7.0,5.0,0.0,313.510009766
8,0.0,0.0,0.0,7.0,5.0,0.0,311.890014648
9,0.0,0.0,0.0,7.0,5.0,0.0,312.260009766
10,0.0,0.0,0.0,7.0,4.0,0.0,313.039978027
11,0.0,0.0,0.0,7.0,4.0,0.0,313.440002441
12,0.0,0.0,0.0,6.0,4.0,0.0,312.239990234
13,0.0,0.0,0.0,7.0,5.0,0.0,313.510009766
14,0.0,0.0,0.0,7.0,4.0,0.0,313.970001221
15,0.0,0.0,0.0,7.0,4.0,0.0,313.970001221
16,0.0,0.0,0.0,7.0,4.0,0.0,313.970001221
17,0.0,0.0,0.0,7.0,4.0,0.0,311.940002441
18,0.0,0.0,0.0,7.0,5.0,0.0,315.859985352
19,0.0,0.0,0.0,7.0,5.0,0.0,313.630004883
20,0.0,0.0,0.0,6.0,5.0,0.0,312.309997559
21,0.0,0.0,0.0,7.0,4.0,0.0,312.970001221
22,0.0,0.0,0.0,7.0,5.0,0.0,314.839996338
23,0.0,0.0,0.0,6.0,4.0,0.0,318.059997559
24,0.0,0.0,0.0,7.0,4.0,0.0,317.279998779
25,0.0,0.0,0.0,6.0,4.0,0.0,318.489990234
26,0.0,0.0,0.0,6.0,4.0,0.0,314.16998291
27,0.0,0.0,0.0,6.0,4.0,0.0,312.470001221
28,0.0,0.0,0.0,7.0,4.0,0.0,311.989990234
29,0.0,0.0,0.0,7.0,5.0,0.0,313.380004883
30,0.0,0.0,0.0,7.0,4.0,0.0,312.770019531
31,0.0,0.0,0.0,7.0,4.0,0.0,312.799987793
32,0.0,0.0,0.0,7.0,4.0,0.0,313.609985352
33,0.0,0.0,0.0,7.0,4.0,0.0,313.609985352
34,0.0,0.0,0.0,7.0,4.0,0.0,313.609985352
35,0.0,0.0,0.0,7.0,4.0,0.0,312.66998291
36,0.0,0.0,0.0,7.0,4.0,0.0,313.239990234
37,0.0,0.0,0.0,7.0,4.0,0.0,313.479980469
38,0.0,0.0,0.0,6.0,5.0,0.0,312.480010986
39,0.0,0.0,0.0,7.0,4.0,0.0,317.639984131
40,0.0,0.0,0.0,7.0,4.0,0.0,318.760009766
41,0.0,0.0,0.0,7.0,4.0,0.0,315.209991455
42,0.0,0.0,0.0,6.0,5.0,0.0,317.450012207
43,0.0,0.0,0.0,7.0,4.0,0.0,317.730010986
44,0.0,0.0,0.0,7.0,4.0,0.0,316.900024414
45,11.0,0.0,1.0,1484.0,4.0,0.0,1994.59008789
