,dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main
0,0.0,0.0,0.0,193.0,4.0,0.0,360.709991455
1,1.0,0.0,0.0,194.0,4.0,0.0,360.070007324
2,0.0,0.0,0.0,191.0,4.0,0.0,360.089996338
3,0.0,0.0,0.0,190.0,4.0,0.0,361.339996338
4,0.0,0.0,0.0,191.0,4.0,0.0,360.829986572
5,0.0,0.0,0.0,191.0,4.0,0.0,360.829986572
6,0.0,0.0,0.0,191.0,4.0,0.0,360.829986572
7,0.0,0.0,0.0,192.0,4.0,0.0,359.800018311
8,0.0,0.0,0.0,193.0,4.0,0.0,360.070007324
9,0.0,0.0,0.0,194.0,4.0,0.0,358.980010986
10,1.0,0.0,0.0,190.0,4.0,0.0,358.049987793
11,0.0,0.0,0.0,189.0,4.0,0.0,358.420013428
12,0.0,0.0,0.0,190.0,4.0,0.0,357.850006104
13,0.0,0.0,0.0,191.0,4.0,0.0,358.839996338
14,0.0,0.0,0.0,193.0,4.0,0.0,358.66998291
15,0.0,0.0,0.0,191.0,4.0,0.0,357.660003662
16,0.0,0.0,0.0,190.0,4.0,0.0,358.450012207
17,0.0,0.0,0.0,189.0,4.0,0.0,358.720001221
18,0.0,0.0,0.0,191.0,4.0,0.0,357.829986572
19,0.0,0.0,0.0,191.0,4.0,0.0,357.410003662
20,0.0,0.0,0.0,189.0,4.0,0.0,358.570007324
21,0.0,0.0,0.0,188.0,4.0,0.0,358.940002441
22,0.0,0.0,0.0,191.0,4.0,0.0,358.41998291
23,0.0,0.0,0.0,191.0,4.0,0.0,358.41998291
24,0.0,0.0,0.0,191.0,4.0,0.0,358.41998291
25,1.0,0.0,0.0,190.0,4.0,0.0,358.299987793
26,0.0,0.0,0.0,189.0,4.0,0.0,358.179992676
27,0.0,0.0,0.0,189.0,4.0,0.0,357.119995117
28,0.0,0.0,0.0,189.0,4.0,0.0,358.170013428
29,0.0,0.0,0.0,189.0,4.0,0.0,358.989990234
30,0.0,0.0,0.0,189.0,4.0,0.0,357.339996338
31,0.0,0.0,0.0,190.0,4.0,0.0,358.450012207
32,1.0,0.0,0.0,191.0,4.0,0.0,357.649993896
33,0.0,0.0,0.0,191.0,4.0,0.0,359.109985352
34,0.0,0.0,0.0,190.0,4.0,0.0,359.520019531
35,0.0,0.0,0.0,188.0,4.0,0.0,358.800018311
36,0.0,0.0,0.0,188.0,4.0,0.0,359.279998779
37,0.0,0.0,0.0,190.0,4.0,0.0,359.859985352
38,0.0,0.0,0.0,191.0,4.0,0.0,356.799987793
39,0.0,0.0,0.0,191.0,4.0,0.0,357.549987793
40,0.0,0.0,0.0,190.0,4.0,0.0,356.559997559
41,0.0,0.0,0.0,190.0,4.0,0.0,356.559997559
42,0.0,0.0,0.0,190.0,4.0,0.0,356.559997559
43,1.0,0.0,0.0,190.0,4.0,0.0,355.429992676
44,0.0,0.0,0.0,189.0,4.0,0.0,356.479980469
45,0.0,0.0,0.0,186.0,4.0,0.0,355.929992676
46,0.0,0.0,0.0,187.0,4.0,0.0,355.839996338
47,0.0,0.0,0.0,187.0,4.0,0.0,357.309997559
48,1.0,0.0,0.0,189.0,4.0,0.0,356.660003662
49,0.0,0.0,0.0,187.0,4.0,0.0,355.790008545
50,0.0,0.0,0.0,187.0,4.0,0.0,355.559997559
51,0.0,0.0,0.0,188.0,4.0,0.0,356.100006104
52,1.0,0.0,0.0,188.0,4.0,0.0,354.240020752
53,0.0,0.0,0.0,189.0,4.0,0.0,355.230010986
54,1.0,0.0,0.0,190.0,4.0,0.0,356.010009766
55,2.0,0.0,1.0,432.0,4.0,0.0,601.41003418
56,2.0,0.0,1.0,432.0,4.0,1.0,599.400024414
57,2.0,0.0,1.0,432.0,4.0,0.0,601.760009766
58,2.0,0.0,1.0,430.0,4.0,0.0,600.729980469
59,2.0,0.0,1.0,430.0,4.0,0.0,600.729980469
60,2.0,0.0,1.0,430.0,4.0,0.0,600.729980469
61,2.0,0.0,0.0,430.0,4.0,1.0,598.649963379
62,2.0,0.0,0.0,430.0,4.0,0.0,600.309997559
63,2.0,0.0,1.0,430.0,4.0,0.0,599.25994873
64,2.0,0.0,1.0,429.0,4.0,1.0,598.510009766
65,2.0,0.0,1.0,429.0,4.0,0.0,598.91998291
66,2.0,0.0,1.0,429.0,4.0,1.0,597.989990234
67,2.0,0.0,1.0,429.0,4.0,1.0,598.280029297
68,2.0,0.0,1.0,429.0,4.0,1.0,599.41998291
69,2.0,0.0,1.0,429.0,4.0,1.0,598.179992676
70,2.0,0.0,1.0,428.0,4.0,0.0,599.099975586
71,2.0,0.0,1.0,428.0,4.0,1.0,598.950012207
72,2.0,0.0,1.0,428.0,4.0,1.0,600.0
73,2.0,0.0,1.0,428.0,4.0,0.0,597.599975586
74,2.0,0.0,1.0,428.0,4.0,1.0,598.08996582
75,2.0,0.0,1.0,427.0,4.0,1.0,599.960021973
76,2.0,0.0,1.0,427.0,4.0,0.0,598.429992676
77,2.0,0.0,1.0,427.0,4.0,0.0,598.429992676
78,2.0,0.0,1.0,427.0,4.0,0.0,598.429992676
79,2.0,0.0,1.0,427.0,4.0,0.0,595.049987793
80,2.0,0.0,1.0,427.0,4.0,1.0,597.770019531
81,2.0,0.0,1.0,427.0,4.0,0.0,598.460021973
82,2.0,0.0,1.0,427.0,4.0,0.0,595.700012207
83,2.0,0.0,1.0,427.0,4.0,0.0,596.699951172
84,2.0,0.0,0.0,427.0,4.0,0.0,597.260009766
85,2.0,0.0,1.0,427.0,4.0,1.0,595.08996582
86,2.0,0.0,1.0,427.0,4.0,1.0,596.040039062
87,2.0,0.0,1.0,426.0,4.0,0.0,598.989990234
88,2.0,0.0,1.0,426.0,4.0,0.0,598.279968262
89,2.0,0.0,1.0,426.0,4.0,1.0,596.0
